"","ID","Date","Acc_Exp","shelf","tank","tankID","pCO2.x","length","width","pop","Timepoint","pCO2.y","pHMeasured","pHNBS","pHSW","pHTotal","Temp_Complete","Sal_Complete","CT_Complete","AT_Complete","pH_Complete","pCO2_Complete","CaSat_Complete","ArgSat_Complete","Temp_2W","Sal_2W","pH_NBS_2W","pH_SW_2W","pH_Total_2W","pH_scaleFree_2W","delta_ph_NBS","delta_ph_total"
"67",17157,2017-06-26,"Exposure",2,3,6,400,2.979,2.137,"Ipswich",22,400,7.781609195,7.695972032623,7.56547400709887,7.57582819925885,17.3333333333333,30.5633333333333,1924.64333333333,2087.71666666667,7.93666666666667,502.933333333333,3.04666666666667,1.94666666666667,16.8285714285714,30.715,8.20028571428571,8.07,8.07871428571429,7.90857142857143,-0.504313681662715,-0.502886086455436
"68",17163,2017-06-26,"Exposure",2,1,4,400,2.788,1.691,"Rowley2",22,400,7.396551724,7.310914561623,7.18041653609887,7.19077072825885,17.3333333333333,30.5633333333333,1935.40333333333,2083.33333333333,7.89333333333333,554.833333333333,2.82,1.80333333333333,16.8857142857143,30.6861428571429,8.19442857142857,8.06371428571429,8.07271428571429,7.903,-0.883514009805572,-0.881943557455435
"69",17179,2017-06-26,"Exposure",3,3,9,900,3.166,2.011,"Ipswich",22,900,7.310344828,7.224707665623,7.09420964009887,7.10456383225885,17.0333333333333,30.53,1992.71666666667,2092.42333333333,7.76666666666667,791.3,2.15666666666667,1.38,16.9428571428571,30.7102857142857,7.90785714285714,7.77742857142857,7.78614285714286,7.61614285714286,-0.683149477234143,-0.681579024884007
"70",17182,2017-06-26,"Exposure",1,2,2,400,2.562,1.821,"Ipswich",22,400,7.402298851,7.316661688623,7.18616366309887,7.19651785525885,17.5333333333333,30.5633333333333,1944.45666666667,2082.16333333333,7.86333333333333,627.566666666667,2.69333333333333,1.72333333333333,17.0857142857143,30.7054285714286,8.18814285714286,8.05757142857143,8.06614285714286,7.89628571428571,-0.871481168519857,-0.869625001884008
"71",17190,2017-06-26,"Exposure",6,1,16,2800,2.984,2.015,"Rowley2",22,2800,7.25862069,7.172983527623,7.04248550209887,7.05283969425885,17.1,30.5766666666667,2175.18333333333,2113.23666666667,7.23666666666667,2868.86666666667,0.696666666666667,0.446666666666667,16.9428571428571,30.6911428571429,7.57628571428571,7.44557142857143,7.45442857142857,7.28457142857143,-0.403302186662715,-0.401588877169721
"72",17222,2017-06-26,"Exposure",6,3,18,2800,3.641,1.703,"Rowley",22,2800,7.063218391,6.977581228623,6.84708320309887,6.85743739525885,17.1,30.5633333333333,2165.96,2112.23666666667,7.26,2698.2,0.733333333333333,0.466666666666667,16.9571428571429,30.7148571428571,7.57128571428571,7.44071428571429,7.44957142857143,7.27942857142857,-0.593704485662713,-0.592134033312579
"73",17001,2017-07-24,"Exposure",1,3,3,400,3.586,2.523,"Rowley2",50,400,7.230326296,7.144689133623,7.01094514572408,7.02145397124462,17.7,30.774,1954.57,2107.98,7.9,556.46,2.918,1.866,17.9714285714286,30.8422857142857,8.12,7.98828571428571,7.99728571428571,7.827,-0.975310866377001,-0.975831743041095
"74",17041,2017-07-24,"Exposure",6,3,18,2800,5,2.127,"Rowley2",50,2800,7.213051823,7.127414660623,6.99367067272408,7.00417949824462,17.5833333333333,30.88,2213.05,2148.915,7.22666666666667,2996.96666666667,0.708333333333333,0.451666666666667,18.5714285714286,30.9852857142857,7.32957142857143,7.19785714285714,7.20671428571429,7.03514285714286,-0.202156767948429,-0.202534787469665
"75",17042,2017-07-24,"Exposure",5,1,13,900,2.806,1.971,"Rowley",50,900,7.552783109,7.467145946623,7.33340195872408,7.34391078424462,17.6166666666667,30.87,1921.69333333333,2101.055,7.64,1163.68333333333,1.78666666666667,1.14333333333333,18.2428571428571,30.9567142857143,7.84285714285714,7.71157142857143,7.72028571428571,7.54914285714286,-0.375711196234143,-0.376374930041095
"76",17052,2017-07-24,"Exposure",2,2,5,400,3.968,2.338,"Ipswich",50,400,7.443378119,7.357740956623,7.22399696872408,7.23450579424462,17.46,30.742,1952.862,2097.728,7.878,586.32,2.79,1.784,18.1142857142857,30.9662857142857,8.10442857142857,7.97271428571429,7.98171428571429,7.81014285714286,-0.746687614805572,-0.747208491469666
