ID,experiment,Acc_Exp,shelf,tank,tankID,exp_pCO2,pCO2,PopOrigin,length,width,pop,DrillDate,survival,survival_date,sample_index,tpnum_actual,sample_date,t_start,t_shuck,t_end,g_index,g_collect,g_20,m_tissue,dm_tissue,g_tissue,p_fluid,wet_wgt,tin_wgt,dry_wgt,wet_wgtcorr,dry_wgtcorr,bag_wgt,totalshell_wgt,shell_wgt,dry_end_meas,Hard_Nell_Index,Hard_Nell_Size_Correction,ShellWt_ShellSizeCor,Simple_ConditionIndex,Repair_Shell_Quality,notes
17050,exposure,Exposure,6,3,18,2800,2800,Rowley2-Sawyers,4.35,2.097,Rowley2,20170427,Y,20170606,90,5,20170606,11:39,11:44,11:49,0,Y,NA,Y,Y,Y,Y,8.54,1.29,2.66,7.25,1.37,11.41,71.12,59.71,59.71,3.164721441,0.7275221703,6.545749538,45.36038411,4,"Stabbed while shucking, maybe also by syringe"
17051,exposure,Exposure,1,3,3,400,400,Rowley1-RR,3.495,2.27,Rowley,20170427,Y,20170822,164,10,20170824,12:22,12:28,12:32,0,N,N,Y,Y,Y,Y,4.99,1.28,2.0332,3.71,0.7532,NA,NA,NA,38.272,5.304631792,1.517777337,4.824009126,26.74076286,2,
17052,exposure,Exposure,2,2,5,400,400,Ipswich,3.968,2.338,Ipswich,20170427,Y,20170724,131,8,20170724,14:28,14:34,14:38,0,N,N,Y,Y,Y,Y,5.34,1.28,1.863,4.06,0.583,NA,NA,NA,60.045,2.391474046,0.6026900318,6.472330397,19.14081693,3,Sickly looking
17053,exposure,Exposure,4,1,10,2800,2800,Rowley2-Sawyers,3.676,1.75,Rowley2,20170427,Y,20170626,118,7,20170626,13:58,14:06,14:10,0,N,NA,Y,Y,Y,Y,5.09,1.28,1.73,3.81,0.45,NA,NA,NA,25.27,4.673930994,1.271471979,3.928182807,17.74212922,3,
17054,exposure,Exposure,4,3,12,2800,2800,Rowley1-RR,3.435,2.719,Rowley,20170427,Y,20170605,64,4,20170605,16:10,16:21,16:25,0,Y,NA,Y,Y,Y,Y,11.73,1.3,2.61,10.43,1.31,11.6,121.12,109.52,109.52,1.146815495,0.3338618616,11.7262051,42.86504867,1,
17055,exposure,Acclimation,1,3,3,400,400,Rowley2-Sawyers,5.059,2.157,Rowley2,20170427,Y,20170517,21,2,20170517,11:34,11:49,11:56,0,Y,NA,Y,Y,Y,Y,9.44,1.28,2.34,8.16,1.06,11.41,102.29,90.88,90.88,1.42937897,0.2825418007,8.328245021,32.08842884,1,Yellow P2
17056,exposure,Acclimation,6,3,18,2800,400,Rowley1-RR,3.172,2.095,Rowley,20170427,Y,20170602,54,3,20170602,11:26,11:33,11:38,0,N,NA,Y,Y,Y,Y,7.87,1.29,2.35,6.58,1.06,11.39,56.52,45.13,45.13,3.569559604,1.125334049,6.791225129,41.11944671,2,
17057,calcein,Calcein,4,1,10,2800,2800,Ipswich,4,1.834,Ipswich,20170427,Y,20170915,191,11,20170915,13:55,13:56,14:00,0,N,N,Y,Y,Y,N,5.28,1.3,NA,NA,NA,NA,NA,NA,51.212,#VALUE!,#VALUE!,6.980916031,#VALUE!,2,
17058,calcein,Calcein,4,1,10,2800,2800,Rowley2-Sawyers,3.74,2.25,Rowley2,20170427,Y,20170915,192,11,20170915,14:32,14:33,14:36,0,N,N,Y,Y,Y,N,5.27,1.29,NA,NA,NA,NA,NA,NA,36.622,#VALUE!,#VALUE!,4.351990493,#VALUE!,2,
17059,exposure,Acclimation,2,1,4,400,400,Rowley1-RR,4.677,2.263,Rowley,20170427,Y,20170517,22,2,20170517,13:35,13:47,13:52,0,Y,NA,Y,Y,Y,Y,5.8,1.28,1.86,4.52,0.58,11.41,66.93,55.52,55.52,2.31121369,0.494165852,5.245628541,17.82797562,4,
17060,exposure,Acclimation,1,2,2,400,400,Rowley1-RR,3.164,2.044,Rowley,20170427,Y,20170509,2,1,20170509,NA,13:04,NA,0,N,NA,Y,Y,Y,Y,3.2,1.28,0.5,1.92,-0.78,6.64,55.22,48.58,48.58,-8.362494854,-2.643013544,7.511733024,-30.67156382,4,
17061,exposure,Exposure,1,3,3,400,400,Rowley2-Sawyers,3.739,2.289,Rowley2,20170427,Y,20170606,75,5,20170606,13:29,13:35,13:38,0,N,NA,Y,Y,Y,Y,8.63,1.28,2.24,7.35,0.96,11.46,72.56,61.1,61.1,2.137679949,0.5717250466,7.139042254,32.81486366,0,
17062,exposure,Exposure,2,1,4,400,400,Rowley1-RR,5.895,1.812,Rowley,20170427,Y,20170822,165,10,20170824,10:15,10:20,10:23,0,N,N,Y,Y,Y,Y,6.56,1.28,2.099,5.28,0.819,NA,NA,NA,68.98,2.248675505,0.3814547083,6.457749393,25.05895178,4,
17063,exposure,Acclimation,4,3,12,2800,400,Ipswich,3.654,2.2,Ipswich,20170427,Y,20170509,12,1,20170509,NA,15:06,NA,0,N,NA,Y,Y,Y,Y,8.34,1.31,1.21,7.03,-0.1,11.31,60.43,49.12,49.12,-0.2895918377,-0.07925337649,6.110364731,-3.526991297,5,
17064,exposure,Acclimation,3,2,8,900,400,Rowley2-Sawyers,6.031,2.322,Rowley2,20170427,Y,20170602,44,3,20170602,14:08,14:17,14:23,0,Y,NA,Y,Y,Y,Y,11,1.3,2.79,9.7,1.49,11.71,110.63,98.92,98.92,1.55285329,0.2574785757,7.063705166,39.81626301,1,Returned to tank temporarily before shucking
17065,exposure,Exposure,5,1,13,900,900,Rowley1-RR,3.566,2.058,Rowley,20170427,Y,20170606,85,5,20170606,11:32,11:38,11:41,0,N,NA,Y,Y,Y,Y,6.12,1.29,2.2,4.83,0.91,11.48,63.18,51.7,51.7,3.64421271,1.021932897,7.044721582,33.59139484,3,
17066,exposure,Exposure,6,3,18,2800,2800,Rowley1-RR,5.322,2.794,Rowley,20170427,Y,20170605,70,4,20170605,16:15,16:30,16:35,0,Y,NA,Y,Y,Y,Y,14.58,1.27,2.82,13.31,1.55,11.46,105.02,93.56,93.56,1.244696389,0.2338775627,6.292003292,40.19583568,2,Returned to tank temporarily before shucking
17067,exposure,Acclimation,2,1,4,400,400,Rowley2-Sawyers,4.36,1.74,Rowley2,20170427,Y,20170509,4,1,20170509,NA,10:25,NA,0,Y,NA,Y,N,Y,Y,4.21,1.29,0.75,2.92,-0.54,6.63,36.39,29.76,29.76,-6.214096332,-1.425251452,3.922809238,-19.60540829,0,
17068,exposure,Exposure,2,2,5,400,400,Rowley1-RR,4.754,1.93,Rowley,20170427,Y,20170822,166,10,20170824,10:59,11:02,11:06,0,N,N,Y,Y,Y,Y,8.94,1.26,2.211,7.68,0.951,NA,NA,NA,67.666,1.82999032,0.3849369626,7.374864036,31.39585204,3,
17069,exposure,Exposure,1,1,1,400,400,Ipswich,4.999,2.539,Ipswich,20170427,Y,20170613,91,6,20170613,13:15,13:20,13:25,0,N,NA,Y,Y,Y,Y,8.74,1.27,2.31,7.47,1.04,11.51,111.65,100.14,100.14,1.390289204,0.2781134635,7.889722884,29.19176946,NA,
17070,exposure,Exposure,1,2,2,400,400,Rowley2-Sawyers,4.804,2.232,Rowley2,20170427,Y,20170613,92,6,20170613,11:03,11:11,11:15,0,Y,NA,Y,Y,Y,N,9.62,1.3,2.55,8.32,1.25,11.58,58.81,47.23,47.23,3.18103715,0.6621642695,4.404744851,38.17345058,3,
17071,calcein,DEAD,5,2,14,900,900,Ipswich,4.411,2.275,Ipswich,20170427,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,1,
17072,exposure,Exposure,4,3,12,2800,2800,Rowley1-RR,4.074,2.292,Rowley,20170427,Y,20170613,102,6,20170613,13:51,13:57,14:02,0,Y,NA,Y,Y,Y,Y,9.19,1.28,2.71,7.91,1.43,11.51,85.24,73.73,73.73,2.451970947,0.6018583572,7.896026477,46.79702216,1,Returned to tank temporarily before shucking
