Rank,ID,WaterSample_ID,shelf,tank,pCO2,DIC,TA,pCO2_calc,Calcite,pH_meas,survival,survival_date,sample_date,bw1_BW,bw1_date,bw1_date_alt,bw1_std_wt,bw1_temp,bw1_sal,bw2_BW,bw2_date,bw2_date_alt,bw2_std_wt,bw2_temp2,bw2_sal,bw3_BW,bw3_date,bw3_date_alt,bw3_std_wt,bw3_temp,bw3_sal,dry_end_meas,dry_measurer,bw1_bw2_std_corr,bw1_bw3_std_corr,bw2_BW_corr,bw3_BW_corr,"dry1_final
",dry2_final,dry3_final,bw1_bw2_dayRange,bw2_bw3_dayRange,bw1_bw2_diff,bw2_bw3_diff,bw1_bw2_daily,bw2_bw3_daily,bw1_bw2_daily_sizeCorr,bw2_bw3_daily_sizeCorr,"Calcification_daily_sizeCorr
","Calcification_daily_sizeCorr_percent
"
56,17020,9,3,3,900,2442.18,2466.7,908.54,2.07,7.59,Y,20170605,20170605,33.112,170504,05/04/17,2.76,13.00,32.433,33.030,170531,05/31/17,2.794,17.2,29.467,NA,NA,NA,NA,NA,NA,58.29,Isabel,-0.014,NA,32.566,NA,59.104,58.087,NA,27.000,NA,-1.017,NA,-0.038,NA,-0.001,NA,NA,
57,17023,11,4,2,2800,2601.68,2504.96,2527.05,1.02,7.22,Y,20170605,20170605,36.697,170506,05/06/17,2.80,13.00,32.667,36.483,170530,05/30/17,2.795,17.2,29.433,NA,NA,NA,NA,NA,NA,64.39,Isabel,0.001,NA,36.509,NA,65.790,65.441,NA,24.000,NA,-0.350,NA,-0.015,NA,0.000,NA,NA,
58,17049,5,2,2,400,2329.53,2437.2,590.67,2.86,7.83,Y,20170605,20170605,56.303,170504,05/04/17,2.79,12.90,32.433,56.092,170530,05/30/17,2.795,17.2,29.433,NA,NA,NA,NA,NA,NA,102.68,Isabel,-0.004,NA,55.891,NA,102.359,101.589,NA,26.000,NA,-0.770,NA,-0.030,NA,0.000,NA,NA,
59,17054,12,4,3,2800,2612.89,2488.3,2516.92,1.01,7.22,Y,20170605,20170605,64.830,170506,05/06/17,2.80,13.00,32.667,64.846,170601,06/01/17,2.799,17,29.600,NA,NA,NA,NA,NA,NA,109.52,Isabel,0.000,NA,64.830,NA,118.263,118.262,NA,26.000,NA,0.000,NA,0.000,NA,0.000,NA,NA,
60,17066,18,6,3,2800,2622.52,2522.02,2555.7,1.13,7.23,Y,20170605,20170605,52.489,170505,05/05/17,2.79,12.90,32.533,52.310,170531,05/31/17,2.799,17,29.600,NA,NA,NA,NA,NA,NA,93.56,Isabel,-0.005,NA,52.060,NA,95.245,94.445,NA,26.000,NA,-0.801,NA,-0.031,NA,0.000,NA,NA,
61,17098,10,4,1,2800,2587.92,2497.79,2378.18,1.08,7.23,Y,20170605,20170605,34.448,170504,05/04/17,2.76,13.00,32.433,34.180,170531,05/31/17,2.794,17.2,29.467,NA,NA,NA,NA,NA,NA,65.11,Isabel,-0.014,NA,33.700,NA,61.596,60.201,NA,27.000,NA,-1.394,NA,-0.052,NA,-0.001,NA,NA,
62,17119,3,1,3,400,2377.12,2484.38,574.36,2.93,7.84,Y,20170605,20170605,42.005,170504,05/04/17,2.77,13.00,32.433,39.805,170530,05/30/17,2.795,17.2,29.433,NA,NA,NA,NA,NA,NA,71.97,Isabel,-0.009,NA,39.446,NA,75.690,70.918,NA,26.000,NA,-4.773,NA,-0.184,NA,-0.002,NA,NA,
63,17131,17,6,2,2800,2608.91,2522.06,2346.38,1.21,7.23,Y,20170605,20170605,21.634,170506,05/06/17,2.80,13.00,32.667,21.493,170530,05/30/17,2.802,17.2,29.433,NA,NA,NA,NA,NA,NA,37.49,Isabel,-0.002,NA,21.452,NA,37.698,37.358,NA,24.000,NA,-0.340,NA,-0.014,NA,0.000,NA,NA,
64,17138,4,2,1,400,2359.13,2470.99,545.47,2.98,7.83,Y,20170605,20170605,12.556,170506,05/06/17,2.80,13.00,32.667,12.730,170530,05/30/17,2.795,17.2,29.433,NA,NA,NA,NA,NA,NA,25.04,Isabel,0.001,NA,12.744,NA,20.766,21.116,NA,24.000,NA,0.351,NA,0.015,NA,0.001,NA,NA,
65,17141,7,3,1,900,2453.26,2468.16,943.47,2.01,7.59,Y,20170605,20170605,12.294,170504,05/04/17,2.79,12.90,32.433,12.295,170530,05/30/17,2.802,17.2,29.433,NA,NA,NA,NA,NA,NA,22.56,Isabel,-0.006,NA,12.218,NA,20.276,20.136,NA,26.000,NA,-0.140,NA,-0.005,NA,0.000,NA,NA,
66,17186,6,2,3,400,2348.8,2454.04,519.42,3.1,7.83,Y,20170605,20170605,36.541,170504,05/04/17,2.77,13.00,32.433,36.644,170530,05/30/17,2.802,17.2,29.433,NA,NA,NA,NA,NA,NA,65.57,Isabel,-0.012,NA,36.216,NA,65.501,64.894,NA,26.000,NA,-0.606,NA,-0.023,NA,0.000,NA,NA,
67,17189,2,1,2,400,2388.7,2486.18,535.06,3.1,7.84,Y,20170605,20170605,59.722,170505,05/05/17,2.79,12.90,32.533,59.708,170530,05/30/17,2.795,17.2,29.433,NA,NA,NA,NA,NA,NA,104.31,Isabel,-0.003,NA,59.515,NA,108.734,108.350,NA,25.000,NA,-0.385,NA,-0.015,NA,0.000,NA,NA,
68,17196,13,5,1,900,2439.9,2459.91,936.56,2.02,7.62,Y,20170605,20170605,23.109,170506,05/06/17,2.80,13.00,32.667,22.620,170530,05/30/17,2.745,17.2,29.433,NA,NA,NA,NA,NA,NA,38.18,Isabel,0.019,NA,23.057,NA,40.448,40.351,NA,24.000,NA,-0.097,NA,-0.004,NA,0.000,NA,NA,
